date,pm2.5,o3,no2,so2,co
2023-07-18,36.64735698769008,31.0,5.830965909090909,0.0,1.826271186440678
2023-07-17,36.64735698769008,40.0,0.0,0.0,1.826271186440678
2023-07-16,36.64735698769008,27.0,5.830965909090909,0.0,1.826271186440678
2023-07-15,36.64735698769008,24.0,5.830965909090909,0.0,1.826271186440678
2023-07-14,54.0,24.0,0.0,0.0,1.826271186440678
2023-07-13,36.64735698769008,25.0,0.0,0.0,1.826271186440678
2023-07-12,39.0,21.0,1.0,0.0,1.826271186440678
2023-07-11,53.0,26.0,0.0,0.0,1.826271186440678
2023-07-10,41.0,27.0,1.0,0.0,1.826271186440678
2023-07-09,33.0,22.0,5.830965909090909,0.0,1.826271186440678
2023-07-08,38.0,25.0,5.0,0.0,1.826271186440678
2023-07-07,26.0,18.0,3.0,0.0,1.826271186440678
2023-07-06,36.0,11.0,4.0,0.0,1.826271186440678
2023-07-05,43.0,19.0,2.0,0.0,1.826271186440678
2023-07-04,45.0,24.0,1.0,0.0,1.826271186440678
2023-07-03,31.0,43.0,6.0,0.0,1.826271186440678
2023-07-02,26.0,28.0,4.0,0.0,1.826271186440678
2023-07-01,32.0,33.0,1.0,0.0,1.826271186440678
2023-06-30,31.0,32.0,1.0,0.0,1.826271186440678
2023-06-29,33.0,31.0,1.0,0.0,1.826271186440678
2023-06-28,50.0,35.0,1.0,0.0,1.826271186440678
2023-06-27,28.0,36.0,0.0,0.0,1.826271186440678
2023-06-26,30.0,24.0,1.0,0.0,1.826271186440678
2023-06-25,27.0,22.0,0.0,0.0,1.826271186440678
2023-06-24,52.0,23.0,1.0,0.0,1.826271186440678
2023-06-23,50.0,32.0,2.0,0.0,1.826271186440678
2023-06-22,60.0,46.0,6.0,0.0,1.826271186440678
2023-06-21,60.0,42.0,3.0,0.0,1.826271186440678
2023-06-20,54.0,32.0,2.0,0.0,1.826271186440678
2023-06-19,40.0,28.0,5.830965909090909,0.0,1.826271186440678
2023-06-18,61.0,20.0,5.830965909090909,0.0,1.826271186440678
2023-06-17,59.0,35.0,5.830965909090909,0.0,1.826271186440678
2023-06-16,59.0,26.0,5.830965909090909,0.0,1.826271186440678
2023-06-15,61.0,31.0,5.830965909090909,0.0,1.826271186440678
2023-06-14,40.0,28.0,5.830965909090909,0.0,1.826271186440678
2023-06-13,30.0,32.0,4.0,0.0,1.826271186440678
2023-06-12,27.0,38.0,5.830965909090909,0.0,1.826271186440678
2023-06-11,30.0,35.0,5.830965909090909,0.0,1.826271186440678
2023-06-10,45.0,36.0,3.0,0.0,1.826271186440678
2023-06-09,41.0,74.0,7.0,0.0,1.826271186440678
2023-06-08,63.0,45.0,7.0,0.0,1.826271186440678
2023-06-07,57.0,55.0,8.0,0.0,1.826271186440678
2023-06-06,43.0,48.0,8.0,0.0,1.826271186440678
2023-06-05,32.0,36.0,11.0,0.0,1.826271186440678
2023-06-04,46.0,39.0,4.0,0.0,1.826271186440678
2023-06-03,60.0,54.0,3.0,0.0,1.826271186440678
2023-06-02,58.0,69.0,1.0,0.0,1.826271186440678
2023-06-01,50.0,51.0,6.0,0.0,1.826271186440678
2023-05-31,43.0,52.0,4.0,0.0,1.826271186440678
2023-05-30,42.0,44.0,7.0,0.0,1.826271186440678
2023-05-29,61.0,40.0,5.0,0.0,1.826271186440678
2023-05-28,74.0,55.0,3.0,0.0,1.826271186440678
2023-05-27,70.0,47.0,10.0,0.0,1.826271186440678
2023-05-26,45.0,46.0,6.0,0.0,1.826271186440678
2023-05-25,74.0,29.0,2.0,0.0,1.826271186440678
2023-05-24,76.0,38.0,6.0,0.0,1.826271186440678
2023-05-23,70.0,47.0,7.0,0.0,1.826271186440678
2023-05-22,61.0,44.0,2.0,0.0,1.826271186440678
2023-05-21,29.0,23.0,5.830965909090909,0.0,1.826271186440678
2023-05-20,40.0,30.385289431757833,2.0,0.0,1.826271186440678
2023-05-19,36.0,56.0,3.0,0.0,1.826271186440678
2023-05-18,27.0,71.0,7.0,0.0,1.826271186440678
2023-05-17,39.0,38.0,2.0,0.0,1.826271186440678
2023-05-16,36.0,35.0,6.0,0.0,1.826271186440678
2023-05-15,17.0,29.0,5.0,0.0,1.826271186440678
2023-05-14,42.0,29.0,4.0,0.0,1.826271186440678
2023-05-13,56.0,26.0,3.0,0.0,1.826271186440678
2023-05-12,49.0,18.0,2.0,0.0,1.826271186440678
2023-05-11,28.0,20.0,2.0,0.0,1.826271186440678
2023-05-10,37.0,29.0,3.0,0.0,1.826271186440678
2023-05-09,49.0,29.0,3.0,0.0,1.826271186440678
2023-05-08,53.0,25.0,2.0,0.0,1.826271186440678
2023-05-07,57.0,15.0,1.0,0.0,1.826271186440678
2023-05-06,67.0,25.0,6.0,0.0,1.826271186440678
2023-05-05,54.0,32.0,2.0,0.0,1.826271186440678
2023-05-04,45.0,30.0,8.0,0.0,1.826271186440678
2023-05-03,35.0,56.0,3.0,0.0,1.826271186440678
2023-05-02,38.0,40.0,6.0,0.0,1.826271186440678
2023-05-01,23.0,57.0,10.0,0.0,1.826271186440678
2023-04-30,20.0,39.0,1.0,0.0,1.826271186440678
2023-04-29,34.0,28.0,3.0,0.0,1.826271186440678
2023-04-28,37.0,46.0,7.0,0.0,1.826271186440678
2023-04-27,44.0,30.0,4.0,0.0,1.826271186440678
2023-04-26,39.0,27.0,2.0,0.0,1.826271186440678
2023-04-25,26.0,37.0,4.0,0.0,1.826271186440678
2023-04-24,28.0,34.0,2.0,0.0,1.826271186440678
2023-04-23,22.0,23.0,5.830965909090909,0.0,1.826271186440678
2023-04-22,19.0,39.0,1.0,0.0,1.826271186440678
2023-04-21,40.0,34.0,5.0,0.0,1.826271186440678
2023-04-20,40.0,28.0,0.0,0.0,1.826271186440678
2023-04-19,39.0,36.0,8.0,0.0,1.826271186440678
2023-04-18,39.0,35.0,8.0,0.0,1.826271186440678
2023-04-17,20.0,44.0,5.0,0.0,1.826271186440678
